UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
MA,Magalhães de Almeida,51,11884,5944,5940,59
MA,Maracaçumé,100,15256,7753,7503,52
MA,Marajá do Sena,102,6741,3014,3727,27
MA,Maranhãozinho,101,8020,4061,3959,33
MA,Mata Roma,42,16065,8014,8051,55
MA,Matinha,86,19716,10157,9559,77
MA,Matões,81,26925,13578,13347,104
MA,Matões do Norte,68,7713,3789,3924,39
MA,Milagres do Maranhão,24,6280,3014,3266,23
MA,Mirador,72,15956,7965,7991,54
MA,Miranda do Norte,109,17198,8891,8307,64
MA,Mirinzal,30,11954,6095,5859,45
MA,Montes Altos,103,7316,3616,3700,28
MA,Monção,43,20967,10809,10158,98
MA,Morros,110,16464,8252,8212,70
MA,Nina Rodrigues,50,10319,5112,5207,47
MA,Nova Colinas,105,4453,2074,2379,19
MA,Nova Iorque,17,4041,2013,2028,15
MA,Nova Olinda do Maranhão,80,13238,6673,6565,68
MA,Olho d'Água das Cunhãs,87,14142,7328,6814,80
MA,Olinda Nova do Maranhão,86,10942,5620,5322,35
MA,Palmeirândia,38,16990,8816,8174,62
MA,Paraibano,53,14667,7659,7008,46
MA,Parnarama,36,25718,12974,12744,111
MA,Passagem Franca,44,14224,7409,6815,61
MA,Pastos Bons,17,14849,7441,7408,60
MA,Paulino Neves,40,14609,7244,7365,82
MA,Paulo Ramos,102,16402,8485,7917,63
MA,Paço do Lumiar,93,84840,46320,38520,300
MA,Pedreiras,9,27429,14822,12607,137
MA,Pedro do Rosário,106,18114,9161,8953,84
MA,Penalva,45,25651,13487,12164,112
MA,Peri Mirim,111,11222,5662,5560,37
MA,Peritoró,8,16104,8361,7743,56
MA,Pindaré-Mirim,43,25673,13421,12252,91
MA,Pinheiro,37,61773,32815,28958,252
MA,Pio XII,87,18435,9515,8920,87
MA,Pirapemas,68,12807,6470,6337,43
MA,Porto Franco,46,18231,9405,8826,64
MA,Porto Rico do Maranhão,30,7416,3645,3771,29
MA,Poção de Pedras,61,14695,7493,7202,69
MA,Presidente Dutra,54,31912,17023,14889,123
MA,Presidente Juscelino,110,10084,5039,5045,42
MA,Presidente Médici,80,5456,2688,2768,29
MA,Presidente Sarney,106,15355,7807,7548,69
MA,Presidente Vargas,50,10412,5171,5241,51
MA,Primeira Cruz,32,10884,5206,5678,48
MA,Raposa,93,24043,12889,11154,85
MA,Riachão,75,16574,8109,8465,60
MA,Ribamar Fiquene,103,6217,3049,3168,23
MA,Rosário,18,31764,16907,14857,109
MA,Sambaíba,34,5433,2548,2885,23
MA,Santa Filomena do Maranhão,79,6137,2902,3235,25
MA,Santa Helena,83,24344,12805,11539,125
MA,Santa Inês,57,62414,33740,28674,264
MA,Santa Luzia,70,44060,22668,21392,177
MA,Santa Luzia do Paruá,80,16916,8787,8129,73
MA,Santa Quitéria do Maranhão,24,20850,10791,10059,80
MA,Santa Rita,18,27383,14276,13107,93
MA,Santana do Maranhão,51,8060,3983,4077,42
MA,Santo Amaro do Maranhão,32,12982,6244,6738,55
MA,Santo Antônio dos Lopes,69,15200,7737,7463,57
MA,Satubinha,87,7293,3685,3608,36
MA,Senador Alexandre Costa,6,8308,4218,4090,32
MA,Senador La Rocque,58,12004,6191,5813,52
MA,Serrano do Maranhão,107,9199,4548,4651,50
MA,Sucupira do Norte,72,8144,4077,4067,34
MA,Sucupira do Riachão,53,4612,2241,2371,23
MA,São Benedito do Rio Preto,73,15985,7999,7986,72
MA,São Bento,38,29269,15421,13848,105
MA,São Bernardo,51,21443,11040,10403,92
MA,São Domingos do Azeitão,62,6745,3269,3476,27
MA,São Domingos do Maranhão,60,27589,14130,13459,108
MA,São Francisco do Brejão,98,8165,4075,4090,37
MA,São Francisco do Maranhão,21,8991,4477,4514,47
MA,São Félix de Balsas,62,4246,1979,2267,19
MA,São José de Ribamar,47,127448,69092,58356,402
MA,São José dos Basílios,54,6295,3110,3185,29
MA,São João Batista,63,20276,10444,9832,88
MA,São João do Carú,78,10102,4896,5206,44
MA,São João do Paraíso,46,8380,3962,4418,35
MA,São João do Soter,6,14135,7177,6958,52
MA,São João dos Patos,53,19032,10133,8899,78
MA,São Luís,1,116281,62284,53997,353
MA,São Luís,2,121950,66807,55143,386
MA,São Luís,3,117500,65338,52162,357
MA,São Luís,10,126666,67788,58878,400
MA,São Luís,76,133267,74527,58740,394
MA,São Luís,89,120623,65856,54767,356
MA,São Luís Gonzaga do Maranhão,35,17020,8762,8258,74
MA,São Mateus do Maranhão,84,29407,15602,13805,126
MA,São Pedro da Água Branca,92,9643,4741,4902,30
MA,São Pedro dos Crentes,82,4670,2164,2506,15
MA,São Raimundo das Mangabeiras,34,15407,7677,7730,51
MA,São Raimundo do Doca Bezerra,61,5137,2466,2671,22
MA,São Roberto,61,4507,2200,2307,20
MA,São Vicente Ferrer,63,16612,8560,8052,64
MA,Sítio Novo,99,13641,6557,7084,57
MA,Tasso Fragoso,11,6857,3292,3565,24
MA,Timbiras,7,20777,10791,9986,70
MA,Timon,19,121234,65233,56001,390
MA,Trizidela do Vale,9,16618,8931,7687,60
MA,Tufilândia,77,5910,2906,3004,24
MA,Tuntum,79,28040,14156,13884,103
MA,Turiaçu,39,27745,13843,13902,141
MA,Turilândia,83,15789,8262,7527,67
MA,Tutóia,40,42342,21759,20583,186
MA,Urbano Santos,73,25306,12903,12403,86
MA,Vargem Grande,50,32086,16666,15420,122
MA,Viana,20,39510,20726,18784,156
MA,Vila Nova dos Martírios,92,8922,4347,4575,27
MA,Vitorino Freire,49,22374,11558,10816,87
MA,Vitória do Mearim,41,24359,12570,11789,112
MA,Zé Doca,96,32478,16833,15645,153
MA,Água Doce do Maranhão,12,11385,5760,5625,49
MG,Abadia dos Dourados,96,5713,2843,2870,23
MG,Abaeté,1,17201,8978,8223,66
MG,Abre Campo,2,11992,6214,5778,39
MG,Acaiaca,225,3520,1785,1735,13
MG,Aguanil,64,4289,2111,2178,13
MG,Aimorés,5,19020,10002,9018,73
MG,Aiuruoca,6,4818,2366,2452,22
MG,Alagoa,306,2615,1286,1329,9
MG,Albertina,13,3586,1737,1849,10
MG,Alfenas,8,60625,32259,28366,177
MG,Alfredo Vasconcelos,25,6065,3046,3019,19
MG,Almenara,9,30847,16174,14673,114
MG,Alpercata,119,6001,3035,2966,26
MG,Alpinópolis,10,15927,7969,7958,47
MG,Alterosa,19,12046,6066,5980,41
MG,Alto Caparaó,168,4401,2296,2105,16
MG,Alto Jequitibá,168,7076,3568,3508,32
MG,Alto Rio Doce,11,10072,5087,4985,36
MG,Alvarenga,89,4427,2181,2246,20
MG,Alvinópolis,12,13089,6674,6415,42
MG,Alvorada de Minas,262,4869,2426,2443,15
MG,Além Paraíba,7,26926,14317,12609,120
MG,Amparo do Serra,268,4487,2284,2203,18
MG,Andradas,13,29857,15515,14342,101
MG,Andrelândia,14,9816,5020,4796,43
MG,Angelândia,67,6829,3524,3305,23
MG,Antônio Carlos,24,9775,4984,4791,33
MG,Antônio Dias,97,9045,4348,4697,37
MG,Antônio Prado de Minas,111,1888,932,956,9
MG,Aracitaba,250,2861,1420,1441,14
MG,Araguari,16,89274,47309,41965,312
MG,Arantina,14,2857,1429,1428,12
MG,Araponga,107,6445,3150,3295,27
MG,Araporã,179,6950,3556,3394,19
MG,Arapuá,76,3458,1699,1759,11
MG,Araxá,17,80547,42624,37923,249
MG,Araçaí,206,2830,1441,1389,10
MG,Araçuaí,15,27919,14518,13401,99
MG,Araújos,298,6556,3398,3158,21
MG,Arceburgo,182,7609,3807,3802,21
MG,Arcos,18,33275,17240,16035,110
MG,Areado,19,11584,5889,5695,39
MG,Argirita,161,3023,1484,1539,13
MG,Aricanduva,135,5066,2473,2593,16
MG,Arinos,320,14389,7175,7214,51
MG,Astolfo Dutra,79,10918,5586,5332,37
MG,Ataléia,270,11034,5602,5432,43
MG,Augusto de Lima,54,4429,2164,2265,19
MG,Açucena,3,8234,4064,4170,41
MG,Baependi,80,15171,7765,7406,52
MG,Baldim,264,6998,3582,3416,32
MG,Bambuí,21,18855,9795,9060,68
MG,Bandeira,9,4600,2196,2404,16
MG,Bandeira do Sul,222,5207,2640,2567,18
MG,Barbacena,23,98761,52786,45975,349
MG,Barra Longa,225,5470,2710,2760,25
MG,Barroso,228,17032,8863,8169,54
MG,Barão De Monte Alto,201,5595,2821,2774,19
MG,Barão de Cocais,22,23770,12217,11553,78
MG,Bela Vista de Minas,193,8254,4357,3897,32
MG,Belmiro Braga,173,3180,1563,1617,14
MG,Belo Horizonte,26,92066,50794,41272,237
MG,Belo Horizonte,27,95367,52437,42930,230
MG,Belo Horizonte,28,104520,57359,47161,261
MG,Belo Horizonte,29,98647,53779,44868,234
MG,Belo Horizonte,30,101600,55452,46148,289
MG,Belo Horizonte,31,125251,67938,57313,308
MG,Belo Horizonte,32,104510,57176,47334,264
MG,Belo Horizonte,33,92762,51665,41097,280
MG,Belo Horizonte,34,109637,60992,48645,293
MG,Belo Horizonte,35,106985,59175,47810,287
MG,Belo Horizonte,36,92151,49639,42512,237
MG,Belo Horizonte,37,95486,51818,43668,243
MG,Belo Horizonte,38,107973,58533,49440,289
MG,Belo Horizonte,39,124884,68403,56481,293
MG,Belo Horizonte,331,101226,55159,46067,249
MG,Belo Horizonte,332,114592,63477,51115,285
MG,Belo Horizonte,333,137053,74707,62346,310
MG,Belo Horizonte,334,134644,73869,60775,319
MG,Belo Oriente,176,20358,10509,9849,70
MG,Belo Vale,338,8514,4210,4304,32
MG,Berilo,177,8974,4536,4438,41
MG,Berizal,266,4288,2125,2163,13
MG,Bertópolis,4,3951,1915,2036,21
MG,Betim,316,166432,88711,77721,557
MG,Betim,319,128931,68421,60510,447
MG,Bias Fortes,24,3856,1872,1984,12
MG,Bicas,42,11476,6073,5403,46
MG,Biquinhas,1,2692,1331,1361,10
MG,Boa Esperança,43,32096,16528,15568,87
MG,Bocaina de Minas,306,4417,2106,2311,14
MG,Bocaiúva,44,35144,18144,17000,118
MG,Bom Despacho,45,38649,20413,18236,125
MG,Bom Jardim de Minas,240,6272,3139,3133,26
MG,Bom Jesus da Penha,195,3597,1776,1821,11
MG,Bom Jesus do Amparo,22,5174,2626,2548,19
MG,Bom Jesus do Galho,72,11932,5979,5953,64
MG,Bom Repouso,59,9968,4960,5008,29
MG,Bom Sucesso,46,15052,7762,7290,52
MG,Bonfim,47,7313,3614,3699,26
MG,Bonfinópolis de Minas,329,5059,2496,2563,22
MG,Bonito de Minas,148,8482,4142,4340,40
MG,Borda da Mata,227,13508,6844,6664,45
MG,Botelhos,55,12576,6440,6136,40
MG,Botumirim,120,5568,2689,2879,20
MG,Brasilândia de Minas,151,12204,6034,6170,38
MG,Brasília de Minas,50,26870,13706,13164,112
MG,Brazópolis,51,12521,6226,6295,41
MG,Braúnas,176,4383,2198,2185,20
MG,Brumadinho,52,34634,17601,17033,107
MG,Brás Pires,261,4706,2347,2359,15
MG,Bueno Brandão,183,8556,4306,4250,25
MG,Buenópolis,54,8435,4274,4161,34
MG,Bugre,131,4320,2172,2148,16
MG,Buritis,324,20189,10172,10017,72
MG,Buritizeiro,218,20167,10256,9911,76
MG,Cabeceira Grande,280,5954,2921,3033,19
MG,Cabo Verde,55,9508,4722,4786,31
MG,Cachoeira Dourada,302,2833,1403,1430,10
MG,Cachoeira da Prata,322,3462,1802,1660,13
MG,Cachoeira de Minas,300,9910,4865,5045,33
MG,Cachoeira de Pajeú,213,6911,3497,3414,30
MG,Caetanópolis,206,8627,4458,4169,31
MG,Caeté,56,34060,17787,16273,105
MG,Caiana,303,4444,2206,2238,19
MG,Cajuri,282,4753,2308,2445,17
MG,Caldas,345,10718,5418,5300,46
MG,Camacho,296,3095,1423,1672,17
MG,Camanducaia,58,18685,9364,9321,51
MG,Cambuquira,61,10082,5221,4861,32
MG,Cambuí,59,22144,11483,10661,65
MG,Campanha,61,12650,6520,6130,36
MG,Campanário,136,3351,1700,1651,15
MG,Campestre,222,16235,8060,8175,62
MG,Campina Verde,229,14471,7396,7075,69
MG,Campo Azul,50,4529,2161,2368,17
MG,Campo Belo,64,38998,20857,18141,120
MG,Campo Florido,326,6332,3108,3224,25
MG,Campo do Meio,65,10362,5259,5103,31
MG,Campos Altos,327,10009,5121,4888,34
MG,Campos Gerais,65,20261,10351,9910,62
MG,Cana Verde,216,4984,2488,2496,17
MG,Canaã,107,4360,2186,2174,19
MG,Candeias,296,11396,5625,5771,46
MG,Cantagalo,257,3838,1951,1887,14
MG,Canápolis,302,8717,4431,4286,27
MG,Caparaó,303,4666,2303,2363,24
MG,Capela Nova,68,4721,2381,2340,19
MG,Capelinha,67,30301,15879,14422,104
MG,Capetinga,127,5641,2810,2831,18
MG,Capim Branco,174,8415,4309,4106,26
MG,Capinópolis,302,11549,5888,5661,56
MG,Capitão Andrade,138,4017,2099,1918,15
MG,Capitão Enéas,115,13164,6521,6643,46
MG,Capitólio,220,8181,4129,4052,22
MG,Caputira,2,7719,3842,3877,28
MG,Caranaíba,68,3420,1663,1757,13
MG,Carandaí,68,20554,10500,10054,68
MG,Carangola,69,22889,12206,10683,78
MG,Caratinga,71,26727,14325,12402,106
MG,Caratinga,72,32863,17481,15382,121
MG,Caraí,196,15041,7704,7337,48
MG,Carbonita,135,8103,3970,4133,32
MG,Careaçu,253,5292,2609,2683,16
MG,Carlos Chagas,73,16218,8288,7930,54
MG,Carmo da Cachoeira,281,9418,4766,4652,32
MG,Carmo da Mata,197,9641,4929,4712,36
MG,Carmo de Minas,259,9753,5036,4717,32
MG,Carmo do Cajuru,287,18835,9599,9236,57
MG,Carmo do Paranaíba,76,21737,11287,10450,84
MG,Carmo do Rio Claro,77,15651,7930,7721,57
MG,Carmésia,113,2682,1353,1329,10
MG,Carmópolis de Minas,208,13654,6920,6734,54
MG,Carneirinho,142,7928,3918,4010,26
MG,Carrancas,343,3444,1712,1732,18
MG,Carvalhos,6,3997,1951,2046,22
MG,Carvalhópolis,164,3409,1675,1734,12
MG,Casa Grande,88,3022,1489,1533,10
MG,Cascalho Rico,110,3709,1793,1916,12
MG,Cataguases,79,52068,27908,24160,176
MG,Catas Altas,245,5102,2569,2533,15
MG,Catas Altas da Noruega,87,4126,2005,2121,14
MG,Catuji,196,8435,4303,4132,27
MG,Catuti,226,4518,2258,2260,18
MG,Caxambu,80,17552,9421,8131,53
MG,Cedro do Abaeté,1,1420,692,728,5
MG,Central de Minas,169,5593,2972,2621,21
MG,Centralina,302,7544,3874,3670,26
MG,Chalé,158,5225,2648,2577,17
MG,Chapada Gaúcha,320,9408,4658,4750,35
MG,Chapada do Norte,177,9277,4860,4417,43
MG,Chiador,170,3293,1696,1597,14
MG,Chácara,42,4375,2170,2205,17
MG,Cipotânea,11,5755,2839,2916,18
MG,Claraval,127,5077,2498,2579,14
MG,Claro dos Poções,184,7459,3724,3735,32
MG,Cláudio,81,22356,11505,10851,71
MG,Coimbra,282,6528,3300,3228,22
MG,Coluna,257,6897,3505,3392,27
MG,Comendador Gomes,297,2850,1355,1495,9
MG,Comercinho,175,6655,3276,3379,27
MG,Conceição da Aparecida,77,8182,4080,4102,25
MG,Conceição da Barra de Minas,328,3689,1807,1882,13
MG,Conceição das Alagoas,82,19726,10005,9721,62
MG,Conceição das Pedras,99,2820,1296,1524,11
MG,Conceição de Ipanema,129,4471,2227,2244,17
MG,Conceição do Mato Dentro,83,19300,9648,9652,80
MG,Conceição do Pará,219,5413,2645,2768,17
MG,Conceição do Rio Verde,80,10236,5199,5037,37
MG,Conceição dos Ouros,300,8974,4458,4516,37
MG,Confins,215,7022,3573,3449,23
MG,Congonhal,227,9543,4759,4784,30
MG,Congonhas,85,43437,22457,20980,123
MG,Congonhas do Norte,83,4437,2223,2214,18
MG,Conquista,326,5418,2649,2769,20
MG,Conselheiro Lafaiete,87,93214,49477,43737,323
MG,Conselheiro Pena,89,15463,8175,7288,70
MG,Consolação,205,2009,958,1051,7
MG,Contagem,90,113239,60904,52335,309
MG,Contagem,91,103267,55909,47358,379
MG,Contagem,93,113883,61499,52384,378
MG,Contagem,313,124414,68214,56200,348
MG,Coqueiral,192,7748,3924,3824,26
MG,Coração de Jesus,94,21906,11022,10884,87
MG,Cordisburgo,206,6840,3436,3404,24
MG,Cordislândia,253,2984,1461,1523,12
MG,Corinto,95,19683,10228,9455,78
MG,Coroaci,212,7980,3968,4012,31
MG,Coromandel,96,24227,12308,11919,78
MG,Coronel Fabriciano,97,79217,42522,36695,263
MG,Coronel Murta,15,7347,3658,3689,26
MG,Coronel Pacheco,235,3031,1507,1524,17
MG,Coronel Xavier Chaves,232,3089,1569,1520,14
MG,Couto de Magalhães de Minas,101,3934,2062,1872,14
MG,Cristais,64,8642,4393,4249,28
MG,Cristiano Otoni,88,4381,2205,2176,16
MG,Cristina,99,8211,4061,4150,26
MG,Cristália,120,5150,2587,2563,18
MG,Crisólita,4,4709,2288,2421,19
MG,Crucilândia,47,5609,2711,2898,15
MG,Cruzeiro da Fortaleza,211,4372,2132,2240,13
MG,Cruzília,346,12722,6555,6167,37
MG,Cuparaque,89,3879,1983,1896,19
MG,Curral de Dentro,266,6723,3372,3351,19
MG,Curvelo,100,60700,32375,28325,215
MG,Cássia,78,13803,7074,6729,39
MG,Córrego Danta,163,3420,1630,1790,14
MG,Córrego Fundo,114,5317,2627,2690,18
MG,Córrego Novo,72,3946,1966,1980,17
MG,Córrego do Bom Jesus,59,4323,2101,2222,15
MG,Cônego Marinho,148,6243,3077,3166,31
MG,Datas,262,5109,2652,2457,19
MG,Delfim Moreira,134,6347,3096,3251,22
MG,Delfinópolis,78,6263,3075,3188,20
MG,Delta,276,7430,3704,3726,25
MG,Descoberto,258,4534,2229,2305,13
MG,Desterro de Entre Rios,106,6324,3087,3237,26
MG,Desterro do Melo,25,4212,2050,2162,14
MG,Diamantina,101,38127,20269,17858,144
MG,Diogo de Vasconcelos,171,3813,1863,1950,18
MG,Dionísio,251,6899,3509,3390,29
MG,Divino,70,15836,8056,7780,48
MG,Divino das Laranjeiras,117,4743,2435,2308,16
MG,Divinolândia de Minas,283,6251,3267,2984,19
MG,Divinésia,261,5052,2521,2531,16
MG,Divinópolis,102,98241,52777,45464,287
MG,Divinópolis,103,70581,37714,32867,219
MG,Divisa Alegre,213,5178,2699,2479,15
MG,Divisa Nova,55,4964,2455,2509,15
MG,Divisópolis,213,7069,3515,3554,19
MG,Dom Bosco,329,3782,1766,2016,13
MG,Dom Cavati,267,4318,2268,2050,22
MG,Dom Joaquim,83,4279,2165,2114,24
MG,Dom Silvério,12,4476,2352,2124,15
MG,Dom Viçoso,99,3122,1533,1589,9
MG,Dona Eusébia,79,5745,2908,2837,19
MG,Dores de Campos,228,8035,4158,3877,27
MG,Dores de Guanhães,121,5284,2575,2709,20
MG,Dores do Indaiá,104,10112,5319,4793,52
MG,Dores do Turvo,261,5454,2730,2724,19
MG,Doresópolis,220,2261,1118,1143,7
MG,Douradoquara,181,2127,1046,1081,7
MG,Durandé,168,6523,3242,3281,25
MG,Elói Mendes,281,19258,10158,9100,56
MG,Engenheiro Caldas,267,7657,3992,3665,30
MG,Engenheiro Navarro,44,6059,3077,2982,20
MG,Entre Folhas,72,5808,2941,2867,20
MG,Entre Rios de Minas,106,12595,6416,6179,47
MG,Ervália,107,16235,8340,7895,65
MG,Esmeraldas,108,54858,28354,26504,181
MG,Espera Feliz,303,18027,9583,8444,66
MG,Espinosa,109,23203,12176,11027,113
MG,Espírito Santo do Dourado,164,5493,2658,2835,16
MG,Estiva,300,9376,4670,4706,34
MG,Estrela Dalva,7,2917,1468,1449,17
MG,Estrela do Indaiá,104,2730,1389,1341,12
MG,Estrela do Sul,110,5898,2849,3049,21
MG,Eugenópolis,111,8680,4386,4294,31
MG,Ewbank da Câmara,250,4539,2262,2277,14
MG,Extrema,112,42324,21858,20466,113
MG,Fama,8,3364,1657,1707,11
MG,Faria Lemos,69,3299,1681,1618,15
MG,Felisburgo,149,5978,2999,2979,17
MG,Felixlândia,100,12361,6263,6098,40
MG,Felício dos Santos,294,5029,2591,2438,16
MG,Fernandes Tourinho,267,2518,1292,1226,11
MG,Ferros,113,8548,4331,4217,38
MG,Fervedouro,69,8389,4231,4158,34
MG,Florestal,172,6883,3477,3406,22
MG,Formiga,114,53912,28389,25523,178
MG,Formoso,324,6249,3003,3246,23
MG,Fortaleza de Minas,293,3218,1578,1640,11
MG,Fortuna de Minas,322,2979,1498,1481,14
MG,Francisco Badaró,177,7303,3555,3748,31
MG,Francisco Dumont,44,4736,2340,2396,18
MG,Francisco Sá,115,19321,9736,9585,95
MG,Franciscópolis,165,4962,2407,2555,16
MG,Frei Gaspar,269,5788,2849,2939,24
MG,Frei Inocêncio,119,6656,3457,3199,28
MG,Frei Lagonegro,135,3605,1750,1855,12
MG,Fronteira,116,10567,5371,5196,31
MG,Fronteira dos Vales,4,4397,2162,2235,17
MG,Fruta de Leite,244,5124,2520,2604,36
MG,Frutal,116,41658,21934,19724,125
MG,Funilândia,264,5400,2652,2748,20
MG,Galiléia,117,5381,2775,2606,20
MG,Gameleiras,180,4722,2324,2398,20
MG,Glaucilândia,184,3952,1941,2011,14
MG,Goiabeira,89,3044,1570,1474,12
MG,Goianá,235,4445,2222,2223,12
MG,Gonzaga,3,4441,2339,2102,18
MG,Gonçalves,205,4077,1936,2141,15
MG,Gouveia,101,10586,5430,5156,35
MG,Governador Valadares,118,57724,31770,25954,208
MG,Governador Valadares,119,59946,32617,27329,232
MG,Governador Valadares,318,72350,39696,32654,237
MG,Grupiara,110,1759,840,919,8
MG,Grão Mogol,120,11883,5936,5947,43
MG,Guanhães,121,24615,13054,11561,88
MG,Guapé,122,10858,5311,5547,41
MG,Guaraciaba,225,7946,4001,3945,32
MG,Guaraciama,44,5259,2550,2709,15
MG,Guarani,235,6723,3392,3331,22
MG,Guaranésia,125,14744,7513,7231,42
MG,Guarará,42,3635,1822,1813,15
MG,Guarda-Mor,295,6291,3051,3240,20
MG,Guaxupé,125,38587,20257,18330,111
MG,Guidoval,275,6787,3455,3332,28
MG,Guimarânia,211,6618,3281,3337,24
MG,Guiricema,284,7425,3727,3698,29
MG,Gurinhatã,141,5104,2374,2730,26
MG,Heliodora,159,5196,2544,2652,18
MG,Iapu,128,8377,4368,4009,26
MG,Ibertioga,24,4890,2494,2396,16
MG,Ibiaí,94,6723,3344,3379,21
MG,Ibiracatu,255,5885,2876,3009,22
MG,Ibiraci,127,9368,4725,4643,28
MG,Ibirité,288,52268,27533,24735,153
MG,Ibirité,351,68340,36249,32091,201
MG,Ibitiúra de Minas,13,3665,1835,1830,11
MG,Ibituruna,46,2583,1268,1315,9
MG,Ibiá,126,16833,8548,8285,63
MG,Icaraí de Minas,252,8748,4305,4443,32
MG,Igarapé,41,33952,17516,16436,97
MG,Igaratinga,287,8237,4113,4124,25
MG,Iguatama,18,6279,3219,3060,26
MG,Ijaci,160,5767,2924,2843,16
MG,Ilicínea,122,9753,4893,4860,27
MG,Imbé de Minas,71,5731,2830,2901,21
MG,Inconfidentes,199,6480,3194,3286,17
MG,Indaiabira,266,6458,3204,3254,26
MG,Indianópolis,16,5206,2549,2657,16
MG,Ingaí,343,2780,1367,1413,11
MG,Inhapim,128,19540,9980,9560,77
MG,Inhaúma,322,5708,2855,2853,18
MG,Inimutaba,100,6489,3243,3246,23
MG,Ipaba,348,13839,7208,6631,42
MG,Ipanema,129,15741,8416,7325,52
MG,Ipatinga,130,61463,32991,28472,195
MG,Ipatinga,131,65351,35219,30132,195
MG,Ipatinga,348,48154,25850,22304,160
MG,Ipiaçu,141,3953,1918,2035,13
MG,Ipuiúna,345,7724,3894,3830,24
MG,Iraí de Minas,110,6838,3359,3479,22
MG,Itabira,132,87668,46766,40902,280
MG,Itabirinha,169,8810,4688,4122,37
MG,Itabirito,133,44152,22916,21236,145
MG,Itacambira,184,4818,2293,2525,27
MG,Itacarambi,148,14271,7341,6930,53
MG,Itaguara,81,10807,5432,5375,47
MG,Itaipé,196,9436,4880,4556,33
MG,Itajubá,134,67759,35553,32206,220
MG,Itamarandiba,135,26052,13463,12589,89
MG,Itamarati de Minas,79,3824,1881,1943,15
MG,Itambacuri,136,17919,9620,8299,77
MG,Itambé do Mato Dentro,132,2678,1289,1389,10
MG,Itamogi,260,9046,4596,4450,27
MG,Itamonte,306,12142,6197,5945,36
MG,Itanhandu,137,12571,6658,5913,36
MG,Itanhomi,138,9454,4980,4474,35
MG,Itaobim,175,16999,8859,8140,58
MG,Itapagipe,297,10338,5246,5092,33
MG,Itapecerica,139,16951,8705,8246,72
MG,Itapeva,58,9359,4739,4620,27
MG,Itatiaiuçu,140,12221,6172,6049,38
MG,Itaverava,87,5651,2731,2920,21
MG,Itaú de Minas,293,12362,6359,6003,35
MG,Itaúna,140,70256,36931,33325,231
MG,Itinga,15,11415,5682,5733,43
MG,Itueta,233,5040,2549,2491,19
MG,Ituiutaba,141,77016,41286,35730,272
MG,Itumirim,343,5752,2918,2834,22
MG,Iturama,142,29672,15343,14329,85
MG,Itutinga,343,3560,1733,1827,12
MG,Jaboticatubas,143,15932,8093,7839,54
MG,Jacinto,144,9214,4664,4550,32
MG,Jacutinga,13,19003,9819,9184,52
MG,Jacuí,260,6311,3155,3156,19
MG,Jaguaraçu,98,3184,1621,1563,11
MG,Jampruca,136,4244,2083,2161,16
MG,Janaúba,147,53801,28352,25449,195
MG,Januária,148,50296,26081,24215,221
MG,Japaraíba,156,3664,1867,1797,11
MG,Japonvar,50,8459,4126,4333,30
MG,Jaíba,63,26588,13403,13185,85
MG,Jeceaba,338,5793,2864,2929,24
MG,Jenipapo de Minas,177,6048,3019,3029,20
MG,Jequeri,339,10353,5290,5063,37
MG,Jequitaí,310,6564,3310,3254,22
MG,Jequitibá,264,5865,2742,3123,24
MG,Jequitinhonha,149,18006,9166,8840,65
MG,Jesuânia,159,4373,2184,2189,14
MG,Joanésia,176,5141,2514,2627,23
MG,Joaquim Felício,54,3769,1908,1861,16
MG,Joaíma,149,11037,5673,5364,41
MG,Jordânia,144,7712,3843,3869,28
MG,Josenópolis,120,3531,1752,1779,13
MG,José Gonçalves de Minas,336,3756,1861,1895,13
MG,José Raydan,247,4337,2161,2176,15
MG,João Monlevade,150,60712,32635,28077,216
MG,João Pinheiro,151,38402,19407,18995,133
MG,Juatuba,172,23975,12316,11659,77
MG,Juiz de Fora,152,98256,54380,43876,339
MG,Juiz de Fora,153,102025,55227,46798,331
MG,Juiz de Fora,315,88189,47961,40228,308
MG,Juiz de Fora,349,100272,54758,45514,365
MG,Juramento,185,4690,2331,2359,16
MG,Juruaia,189,9106,4559,4547,24
MG,Juvenília,342,5540,2674,2866,22
MG,Ladainha,270,12277,6288,5989,42
MG,Lagamar,230,6408,3126,3282,22
MG,Lagoa Dourada,228,10323,5113,5210,37
MG,Lagoa Formosa,330,15927,8086,7841,54
MG,Lagoa Grande,230,7606,3720,3886,22
MG,Lagoa Santa,157,52996,28180,24816,177
MG,Lagoa da Prata,156,36876,19772,17104,106
MG,Lagoa dos Patos,94,3755,1839,1916,14
MG,Lajinha,158,16314,8457,7857,52
MG,Lambari,159,17174,8822,8352,50
MG,Lamim,87,3494,1743,1751,11
MG,Laranjal,201,5907,3012,2895,24
MG,Lassance,310,6218,3122,3096,20
MG,Lavras,160,74711,39903,34808,212
MG,Leandro Ferreira,219,3321,1632,1689,10
MG,Leme do Prado,336,4405,2219,2186,15
MG,Leopoldina,161,40061,21414,18647,142
MG,Liberdade,6,4206,2063,2143,19
MG,Lima Duarte,162,14327,7266,7061,52
MG,Limeira do Oeste,142,6501,3211,3290,19
MG,Lontra,255,8591,4248,4343,26
MG,Luisburgo,70,5819,2885,2934,18
MG,Luislândia,50,6790,3298,3492,28
