UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
AM,Amaturá,22,7276,3557,3719,29
AM,Anamã,6,9183,4390,4793,25
AM,Anori,33,10932,5456,5476,31
AM,Apuí,67,11462,5550,5912,48
AM,Atalaia do Norte,42,9611,4760,4851,42
AM,Autazes,35,32059,15871,16188,111
AM,Barcelos,18,12661,6216,6445,37
AM,Barreirinha,26,22330,10977,11353,67
AM,Benjamin Constant,20,23734,12139,11595,82
AM,Beruri,54,14888,7284,7604,45
AM,Boa Vista do Ramos,5,13649,6445,7204,43
AM,Boca do Acre,14,22789,11221,11568,74
AM,Borba,15,24200,11918,12282,77
AM,Caapiranga,6,9545,4648,4897,26
AM,Canutama,13,10790,5105,5685,40
AM,Carauari,21,20533,10167,10366,85
AM,Careiro,23,27103,13234,13869,102
AM,Careiro da Várzea,31,18528,9134,9394,68
AM,Coari,8,51156,25796,25360,186
AM,Codajás,7,17014,8455,8559,55
AM,Eirunepé,11,22695,11451,11244,70
AM,Envira,46,10758,5400,5358,35
AM,Fonte Boa,10,17207,8411,8796,58
AM,Guajará,45,12167,6016,6151,40
AM,Humaitá,17,33762,16847,16915,115
AM,Ipixuna,45,11495,5623,5872,38
AM,Iranduba,56,44997,22854,22143,217
AM,Itacoatiara,3,75106,37616,37490,269
AM,Itamarati,69,7378,3557,3821,28
AM,Itapiranga,24,9683,4781,4902,32
AM,Japurá,48,5717,2716,3001,19
AM,Juruá,50,7557,3704,3853,47
AM,Jutaí,41,15670,7922,7748,44
AM,Lábrea,12,28539,14307,14232,100
AM,Manacapuru,6,79847,40451,39396,239
AM,Manaquiri,23,15201,7455,7746,50
AM,Manaus,1,97773,52639,45134,323
AM,Manaus,2,92002,50036,41966,269
AM,Manaus,31,81310,42905,38405,239
AM,Manaus,32,118892,63001,55891,335
AM,Manaus,37,95754,50915,44839,260
AM,Manaus,40,123457,66107,57350,313
AM,Manaus,58,118379,63002,55377,316
AM,Manaus,59,107014,56028,50986,293
AM,Manaus,62,143388,76060,67328,385
AM,Manaus,63,132266,69129,63137,363
AM,Manaus,65,127271,67395,59876,361
AM,Manaus,68,91948,47999,43949,265
AM,Manaus,70,112984,59911,53073,310
AM,Manicoré,16,32823,16018,16805,113
AM,Maraã,49,10066,4829,5237,37
AM,Maués,5,37713,18650,19063,125
AM,Nhamundá,43,16103,7764,8339,54
AM,Nova Olinda do Norte,35,19825,9783,10042,68
AM,Novo Airão,34,13218,6627,6591,41
AM,Novo Aripuanã,29,13279,6504,6775,48
AM,Parintins,4,72158,36402,35756,251
AM,Pauini,44,11409,5589,5820,36
AM,Presidente Figueiredo,51,28271,14035,14236,109
AM,Rio Preto da Eva,68,23255,11534,11721,84
AM,Santa Isabel do Rio Negro,30,9064,4447,4617,30
AM,Santo Antônio do Içá,47,18406,9053,9353,51
AM,Silves,24,9583,4594,4989,32
AM,São Gabriel da Cachoeira,19,32196,16521,15675,109
AM,São Paulo de Olivença,22,21121,10465,10656,65
AM,São Sebastião do Uatumã,27,7723,3696,4027,23
AM,Tabatinga,36,39433,20932,18501,114
AM,Tapauá,38,14543,6996,7547,42
AM,Tefé,9,49744,25502,24242,146
